Feature,Importance
MP,0.010810810810810789
PTS,0.010810810810810766
3P,0.007207207207207222
FT,0.005405405405405394
GS,0.003603603603603611
DRB,0.003603603603603567
TOV,0.0018018018018018055
FG%,0.0
Age,0.0
eFG%,0.0
FT%,0.0
TRB,-0.0018018018018018055
G,-0.0018018018018018055
FG%.1,-0.0018018018018018055
3PA,-0.0018018018018018055
FG,-0.0018018018018018055
2PA,-0.0018018018018018055
2P%,-0.0018018018018018055
FGA,-0.003603603603603611
3P%,-0.003603603603603611
2P,-0.003603603603603611
PF,-0.007207207207207222
FTA,-0.009009009009009028
BLK,-0.009009009009009028
ORB,-0.01261261261261264
AST,-0.016216216216216252
STL,-0.018018018018018056
