FPR,TPR,Threshold
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.09090909090909091,0.9972367726356302
0.0,0.18181818181818182,0.9916089072981509
0.0,0.2727272727272727,0.9875937945475903
0.0,0.36363636363636365,0.9843204894684777
0.0,0.45454545454545453,0.9816228473255539
0.0,0.5454545454545454,0.9489349284109344
0.01,0.5454545454545454,0.8318917954560884
0.02,0.5454545454545454,0.7659946721114306
0.02,0.6363636363636364,0.3567570235699077
0.03,0.6363636363636364,0.09655533621151895
0.03,0.7272727272727273,0.08092466686169494
0.04,0.7272727272727273,0.047890599958415304
0.05,0.7272727272727273,0.04430693689426785
0.06,0.7272727272727273,0.041400780987938805
0.07,0.7272727272727273,0.03265517468264637
0.08,0.7272727272727273,0.03200723931420441
0.09,0.7272727272727273,0.031924237987391024
0.09,0.8181818181818182,0.011573113749915638
0.1,0.8181818181818182,0.003968400036951679
0.11,0.8181818181818182,0.0034103180162426937
0.11,0.9090909090909091,0.0022629362776018093
0.11,1.0,0.0018789836127366991
0.12,1.0,0.001726638808136921
0.13,1.0,0.0006711398814782157
0.14,1.0,0.000562430156802491
0.15,1.0,0.0005084033560270381
0.16,1.0,0.0003241851207153307
0.17,1.0,0.00020923467985200839
0.18,1.0,0.00011868010017414149
0.19,1.0,0.00011540552027863788
0.2,1.0,0.0001022257593658596
0.21,1.0,7.115588632772216e-05
0.22,1.0,4.06014100173848e-05
0.23,1.0,2.1655541762828516e-05
0.24,1.0,1.9282201732074926e-05
0.25,1.0,1.1243696014654496e-05
0.26,1.0,6.599122915969302e-06
0.27,1.0,4.049937171781457e-06
0.28,1.0,2.4868396414577474e-06
0.29,1.0,2.0811839996263044e-06
0.3,1.0,1.156546663828744e-06
0.31,1.0,1.0181610508775456e-06
0.32,1.0,5.360118103607989e-07
0.33,1.0,5.081227509429245e-07
0.34,1.0,2.0422824046306287e-07
0.35,1.0,1.4272345347990952e-07
0.36,1.0,1.173498888784483e-07
0.37,1.0,6.921559652067829e-08
0.38,1.0,6.408839995019484e-08
0.39,1.0,2.7194424135973757e-08
0.4,1.0,2.3616275876225848e-08
0.41,1.0,1.470682002364249e-08
0.42,1.0,1.2708053767779731e-08
0.43,1.0,1.2323654986828701e-08
0.44,1.0,7.795500202508331e-09
0.45,1.0,2.5916348776185626e-09
0.46,1.0,1.6885179559811493e-09
0.47,1.0,1.6462219098908744e-09
0.48,1.0,1.4107285164539917e-09
0.49,1.0,1.0743234554245888e-09
0.5,1.0,9.794248928268093e-10
0.51,1.0,9.763953771470023e-10
0.52,1.0,9.702850925372287e-10
0.53,1.0,8.964416483921173e-10
0.54,1.0,7.222385598066621e-10
0.55,1.0,7.092320426459991e-10
0.56,1.0,5.798943798707248e-10
0.57,1.0,5.261005308030571e-10
0.58,1.0,2.999680628782369e-10
0.59,1.0,2.929908430356962e-10
0.6,1.0,2.5231864080403926e-10
0.61,1.0,1.838822154659076e-10
0.62,1.0,1.3115131546118038e-10
0.63,1.0,7.777448688785475e-11
0.64,1.0,7.247560550634562e-11
0.65,1.0,6.396818423907016e-11
0.66,1.0,4.6296986306291775e-11
0.67,1.0,3.284317546469634e-11
0.68,1.0,2.662035612763376e-11
0.69,1.0,2.0952051816146402e-11
0.7,1.0,1.9821763152031023e-11
0.71,1.0,1.2274830125103608e-11
0.72,1.0,1.1903261997952324e-11
0.73,1.0,7.73756761859138e-12
0.74,1.0,7.512926874278442e-12
0.75,1.0,6.405734876739937e-12
0.76,1.0,6.310480926015082e-12
0.77,1.0,4.827082019339126e-12
0.78,1.0,3.4400894147382863e-12
0.79,1.0,2.85905259217132e-12
0.8,1.0,2.015581403235645e-12
0.81,1.0,1.6159949914422324e-12
0.82,1.0,1.4137314195132933e-12
0.83,1.0,1.0750343847253767e-12
0.84,1.0,9.566568030653214e-13
0.85,1.0,7.201652404038217e-13
0.86,1.0,5.468819939332122e-13
0.87,1.0,4.960636873270278e-13
0.88,1.0,3.7034875338089953e-13
0.89,1.0,2.0351388887127215e-13
0.9,1.0,1.7815711559822396e-13
0.91,1.0,1.576558037391845e-13
0.92,1.0,1.2497068608943765e-13
0.93,1.0,7.45124805226019e-14
0.94,1.0,6.399908976262006e-14
0.95,1.0,4.596484688956132e-14
0.96,1.0,3.41409521065123e-14
0.97,1.0,2.907876809351562e-14
0.98,1.0,2.4755317131870877e-14
0.99,1.0,1.6334012656332938e-14
1.0,1.0,4.93595602992701e-15
1.0,1.0,0.0
1.0,1.0,0.0
